200|Hjemmeside||17992|https://www.sparebank1.no/nb/bank.html|Bank | SpareBank 1 Bank
200|Tema||191127|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/bransjer/borettslag-sameie.html|Borettslag og sameie | Forsikringer | SpareBank 1 
200|Tema||190759|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/ipid-bedrift.html|IPID | Produktinformasjon bedriftsforsikring | SpareBank 1 
200|Produkt||237116|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/kriminalitetsforsikring.html|Kriminalitetsforsikring | Underslagsforsikring | SpareBank 1 
200|Tema||294017|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring.html|Bedriftsforsikring | Næringslivsforsikring | SpareBank 1 
200|Marked||298872|https://www.sparebank1.no/nb/bank/bedrift.html|Bedrift | SpareBank 1 
200|Produkt||262555|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/ansvarsforsikring-bedrift/produktansvar-forsikring.html|Produktansvar | Produktansvarsforsikring | SpareBank 1 
200|Produkt||168337|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/kundehistorier.html|Kundecase - bedriftsforsikring | SpareBank 1 
200|Produkt||246774|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/borettslag-sameie-forsikring/dugnadsveileder.html|Dugnadsveileder for borettslag og sameier | SpareBank 1 
200|Kategori||268634|https://www.sparebank1.no/nb/bank/bedrift/bedriftskort.html|Bedriftskort | Bankkort og kredittkort bedrift | SpareBank 1 
200|Produkt||374816|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/landbruksforsikring/driftsbygning.html|Forsikring av driftsbygning | SpareBank 1 
200|Kategori||271871|https://www.sparebank1.no/nb/bank/bedrift/betaling.html|Betaling | SpareBank 1 
200|Produkt||283733|https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/transportforsikring.html|Transportforsikring | Transportansvar | SpareBank 1 
200|Produkt||282241|https://www.sparebank1.no/nb/bank/bedrift/betaling/inkasso.html|Inkasso | Betaler kundene dine for sent? | SpareBank 1 
200|Underkategori||356416|https://www.sparebank1.no/nb/bank/bedrift/betaling/utenlandsbetaling.html|Utenlandsbetaling bedrift | SpareBank 1 
200|Produkt||276191|https://www.sparebank1.no/nb/bank/bedrift/bransjer/offentlig-sektor/Forvaltningskonto.html|Forvaltningskonto | SpareBank 1 
200|Kategori||276483|https://www.sparebank1.no/nb/bank/bedrift/daglig-drift.html|Daglig drift | Nettbank og regnskapsprogram for bedrifter | SpareBank 1 
200|Kundeservice||328579|https://www.sparebank1.no/nb/bank/bedrift/kundeservice.html|Kundeservice | SpareBank 1 
200|Kategori||259214|https://www.sparebank1.no/nb/bank/bedrift/konto.html|Konto for bedrift | Opprett bedriftskonto | SpareBank 1 
200|Spørsmål||261473|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/administrere-prisavtaler.html|Administrere prisavtaler i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||257106|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/aktivere-ehf.html|Aktivere EHF i SpareBank 1 Regnskap | SpareBank 1 
200|Produkt||356095|https://www.sparebank1.no/nb/bank/bedrift/daglig-drift/nettbank-lag-forening.html|Nettbank lag og forening | SpareBank 1 
200|Spørsmål||258432|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/automerke-reskontro.html|Utestående (åpne poster): Automerke en reskontro i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||275199|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/avslutte-sparebank1-regnskap.html|Avslutte SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||255717|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/app-tildele-leverandorfaktura.html|Tildele leverandørfaktura i appen til SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||260328|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/betale-utenlandsk-valuta.html|Betale i utenlandsk valuta i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||259178|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/disponere-arsresultat.html|Disponere åresultatet i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||264941|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/fakturere-timer.html|Fakturere timer i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||263973|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/fjerne-kontokobling-arsoppgjor.html|Fjerne kontokobling mot årsoppgjør i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||261501|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/hva-er-balanse.html|Hva er balanse? | SpareBank 1 
200|Spørsmål||278878|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/fanevalg-faktura-ordre-tilbud.html|Bruke fanevalgene i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||257047|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/flyt-tildeling-leverandorfaktura.html|Automatisere behandlingen av inngående fakturaer i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||279600|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/feriepenger-oppsett.html|Sette opp trekk i lønn for ferie i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||256500|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/kontantfaktura.html|Lage kontantfaktura i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||258832|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/lonnsinnstillinger-juridisk-enhet.html|Sette opp juridisk enhet i lønnsinnstillinger i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||266993|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/leverandorfaktura-bilagsforing-landbruk.html|Leverandørfaktura og bilagsføring i landbruksregnskap | SpareBank 1 
200|Spørsmål||259242|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/kreditnota-bank.html|Motregne faktura mot kreditnota i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||263956|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/lonn-godkjenning.html|Sende lønn til godkjenning i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||255936|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/kopiere-lonnsart.html|Kopiere lønnsarter i SpareBank 1 Regnskap | SpareBank 1 
200|Spørsmål||263632|https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/kreditnota-utgaende-faktura.html|Kreditere utgående faktura i SpareBank 1 Regnskap | SpareBank 1 
